Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
259,-0.3000,0.3000,300,127,0.4500,0.3500,0.4000,TANH,0.0703
260,-0.7500,0.7500,300,119,0.5500,0.4000,0.6000,SELU,0.0746
261,-0.3500,0.3500,300,205,0.6500,0.5500,0.5500,SELU,0.1251
262,-0.8000,0.8000,600,460,0.4000,0.4000,0.2500,SELU,0.0789
263,-0.7500,0.7500,800,401,0.5000,0.3500,0.5500,TANH,0.1077
264,-0.2000,0.2000,900,388,0.7000,0.4000,0.5500,SELU,0.1513
265,-0.9000,0.9000,600,451,0.2000,0.5000,0.3000,TANH,0.0841
266,-0.2000,0.2000,200,81,0.5500,0.4500,0.5500,SELU,0.0895
267,-0.2500,0.2500,200,89,0.6500,0.5000,0.2000,SELU,0.1158
268,-0.7000,0.7000,400,191,0.5500,0.4000,0.2500,SELU,0.0451
269,-0.4500,0.4500,300,135,0.7000,0.6500,0.5000,TANH,0.1244
270,-0.5500,0.5500,500,286,0.5000,0.6500,0.5000,SELU,0.1296
271,-0.5500,0.5500,300,149,0.6000,0.6500,0.3000,SELU,0.0862
272,-0.6000,0.6000,300,149,0.5000,0.5500,0.1500,TANH,0.0672
273,-0.6000,0.6000,500,274,0.4500,0.5000,0.2500,SELU,0.1302
274,-0.2500,0.2500,500,319,0.5000,0.5000,0.3500,TANH,0.1140
275,-0.9000,0.9000,200,116,0.3000,0.4000,0.6000,SELU,0.1572
276,-0.9000,0.9000,400,200,0.3500,0.7500,0.2500,SELU,0.1128
277,-0.2500,0.2500,700,365,0.5500,0.7000,0.4500,SELU,0.1606
278,-0.8500,0.8500,100,54,0.4500,0.7000,0.6000,TANH,0.1718
279,-1.0500,1.0500,400,164,0.2500,0.4000,0.2500,SELU,0.1354
280,-0.6000,0.6000,800,500,0.5000,0.4500,0.2500,SELU,0.1388
281,-0.7000,0.7000,800,484,0.4500,0.5000,0.5500,SELU,0.1249
282,-1.1000,1.1000,400,169,0.6500,0.7500,0.3500,SELU,0.1294
283,-0.1000,0.1000,300,160,0.6500,0.7500,0.1500,SELU,0.0956
284,-0.3500,0.3500,300,160,0.3500,0.5500,0.6000,SELU,0.1200
285,-0.7500,0.7500,300,121,0.2500,0.4500,0.3500,TANH,0.1184
286,-1.0000,1.0000,600,399,0.5000,0.7500,0.3000,TANH,0.0830
287,-0.6500,0.6500,700,306,0.7000,0.6000,0.5500,SELU,0.1322
288,-0.1000,0.1000,200,98,0.3500,0.5000,0.4000,TANH,0.1035
289,-0.3000,0.3000,900,338,0.7000,0.4500,0.6000,SELU,0.0933
290,-0.6000,0.6000,600,312,0.5500,0.7500,0.2500,SELU,0.0815
291,-1.1000,1.1000,400,217,0.5000,0.6000,0.2000,SELU,0.1797
292,-0.7000,0.7000,800,373,0.5500,0.6500,0.5000,TANH,0.1394
293,-1.0000,1.0000,400,165,0.6500,0.7500,0.4500,SELU,0.1282
294,-0.9000,0.9000,300,195,0.4000,0.4500,0.3500,TANH,0.1325
295,-0.6500,0.6500,100,42,0.6500,0.5500,0.3500,TANH,0.1707
296,-0.0500,0.0500,200,94,0.4000,0.4500,0.4500,SELU,0.1140
297,-1.1000,1.1000,800,489,0.2000,0.8000,0.2500,TANH,0.1424
298,-1.0000,1.0000,300,222,0.3500,0.6500,0.5500,TANH,0.1013
299,-0.4000,0.4000,500,238,0.6500,0.7000,0.1500,SELU,0.0626
300,-0.8000,0.8000,700,420,0.3500,0.6000,0.1500,SELU,0.0820
301,-0.4500,0.4500,500,219,0.5000,0.3500,0.2500,SELU,0.1141
302,-0.8000,0.8000,700,298,0.4500,0.8000,0.4000,SELU,0.1264
303,-0.6500,0.6500,400,275,0.5500,0.5500,0.3000,SELU,0.1023
304,-0.3000,0.3000,100,40,0.5000,0.6500,0.5000,SELU,0.1324
305,-0.5500,0.5500,600,248,0.5000,0.7000,0.5500,SELU,0.0955
306,-0.7000,0.7000,200,79,0.3500,0.5000,0.2000,SELU,0.0588
307,-0.3500,0.3500,200,134,0.4000,0.6000,0.3500,SELU,0.0941
308,-1.0500,1.0500,1000,500,0.6500,0.8000,0.4000,SELU,0.1843
309,-0.6000,0.6000,600,263,0.5000,0.3500,0.5500,SELU,0.1002
310,-0.7000,0.7000,200,90,0.4000,0.5000,0.4000,TANH,0.0871
311,-0.3500,0.3500,600,356,0.2000,0.6500,0.6000,SELU,0.0967
312,-1.1000,1.1000,800,306,0.3000,0.5000,0.4500,TANH,0.0997
313,-0.9000,0.9000,900,359,0.3500,0.4500,0.5000,SELU,0.1092
314,-0.5000,0.5000,400,222,0.2500,0.6000,0.5000,SELU,0.0936
315,-0.7500,0.7500,200,84,0.6500,0.6500,0.5000,SELU,0.1379
316,-0.3000,0.3000,800,430,0.2500,0.3500,0.2500,SELU,0.0787
317,-0.2000,0.2000,600,342,0.2000,0.7500,0.2000,SELU,0.1033
318,-0.8500,0.8500,800,307,0.6500,0.8000,0.4500,SELU,0.1299
319,-0.7500,0.7500,900,450,0.4500,0.6000,0.3000,SELU,0.1047
320,-0.5500,0.5500,200,81,0.4000,0.7500,0.5500,SELU,0.1353
