Iteration,MinGene,MaxGene,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,MutateChangeBest,AverageFitness
282,0.5703,-0.5703,291,0.6515,0.3538,0.2532,0.4805,0.2736
283,0.4181,-0.4181,268,0.6228,0.4199,0.2378,0.5214,0.1548
284,0.2252,-0.2252,271,0.5165,0.3205,0.1480,0.5159,0.2950
285,0.3412,-0.3412,296,0.6967,0.4018,0.2113,0.4296,0.2051
286,0.3230,-0.3230,291,0.5073,0.3884,0.1871,0.5044,0.2406
287,0.3988,-0.3988,297,0.6276,0.2833,0.2091,0.4032,0.2225
288,0.2659,-0.2659,269,0.5960,0.3024,0.1979,0.5149,0.2611
289,0.2877,-0.2877,262,0.6319,0.3811,0.2436,0.4683,0.2343
290,0.5787,-0.5787,318,0.5860,0.3615,0.1822,0.5493,0.2438
291,0.4022,-0.4022,305,0.6862,0.3482,0.1601,0.4079,0.2295
292,0.5121,-0.5121,260,0.6213,0.3886,0.2572,0.4986,0.2232
293,0.3684,-0.3684,318,0.6288,0.3436,0.2222,0.4194,0.2433
294,0.3846,-0.3846,273,0.5159,0.3023,0.1768,0.5226,0.2870
295,0.4678,-0.4678,261,0.5545,0.4158,0.2677,0.4833,0.1403
296,0.4210,-0.4210,320,0.5557,0.3940,0.1938,0.4627,0.2057
297,0.4863,-0.4863,319,0.6084,0.3767,0.2675,0.4949,0.2512
298,0.4355,-0.4355,265,0.6532,0.3557,0.1655,0.5012,0.2242
299,0.4028,-0.4028,318,0.5564,0.2971,0.2320,0.4900,0.2660
300,0.4485,-0.4485,267,0.6655,0.3380,0.2815,0.4259,0.2428
301,0.3844,-0.3844,264,0.5673,0.3244,0.1832,0.5354,0.2520
302,0.3939,-0.3939,267,0.5488,0.3924,0.2964,0.5123,0.2322
303,0.5418,-0.5418,282,0.6909,0.3652,0.1780,0.4617,0.1635
304,0.4292,-0.4292,311,0.5991,0.3318,0.2367,0.4775,0.1933
305,0.2097,-0.2097,286,0.5524,0.2871,0.2201,0.4641,0.3014
306,0.3781,-0.3781,289,0.6682,0.4026,0.2048,0.4385,0.2787
307,0.3620,-0.3620,284,0.5879,0.3042,0.2653,0.5375,0.2515
308,0.3262,-0.3262,288,0.6019,0.3844,0.2437,0.5408,0.2398
309,0.2773,-0.2773,273,0.6958,0.3502,0.1737,0.5170,0.2571
310,0.3366,-0.3366,277,0.5281,0.4145,0.2341,0.4906,0.1913
311,0.4629,-0.4629,267,0.5089,0.3289,0.2541,0.4263,0.1824
312,0.5194,-0.5194,283,0.5943,0.3203,0.1457,0.5334,0.2537
313,0.4648,-0.4648,315,0.5240,0.3247,0.2410,0.4040,0.2215
314,0.2245,-0.2245,277,0.6744,0.3611,0.1745,0.4840,0.2310
315,0.3311,-0.3311,288,0.5209,0.4001,0.2148,0.4037,0.2240
316,0.3088,-0.3088,295,0.5319,0.4198,0.2545,0.5430,0.1872
317,0.5039,-0.5039,315,0.5092,0.3020,0.2691,0.4478,0.2543
318,0.5418,-0.5418,299,0.6421,0.3520,0.2831,0.5284,0.2517
319,0.2709,-0.2709,269,0.5962,0.3099,0.1434,0.5100,0.2762
320,0.3254,-0.3254,291,0.5540,0.3500,0.2074,0.4613,0.2494
